"ProvinceName","MetroName","MetroCode","DisplayName"
"Alabama","Atlanta GA","524","Atlanta"
"Alabama","Birmingham AL","630","Birmingham"
"Alabama","Columbus GA","522","ColumbusGA"
"Alabama","Columbus-Tupelo-West Point MS","673","ColumbusMS"
"Alabama","Dothan AL","606","DothanAL"
"Alabama","Huntsville-Decatur (Florence) AL","691","Huntsville"
"Alabama","Meridian MS","711","Meridian"
"Alabama","Mobile AL-Pensacola (Ft. Walton Beach) FL","686","MobileAL"
"Alabama","Montgomery (Selma) AL","698","Montgomery"
"Alaska","Anchorage AK","743","Anchorage"
"Alaska","Fairbanks AK","745","Fairbanks"
"Alaska","Juneau AK","747","Juneau"
"Arizona","Albuquerque-Santa Fe NM","790","Albuquerque"
"Arizona","Phoenix AZ","753","Phoenix"
"Arizona","Tucson (Sierra Vista) AZ","789","Tucson"
"Arizona","Yuma AZ-El Centro CA","771","Yuma"
"Arkansas","Ft. Smith-Fayetteville-Springdale-Rogers AR","670","FtSmith"
"Arkansas","Greenwood-Greenville MS","647","Greenwood"
"Arkansas","Jonesboro AR","734","Jonesboro"
"Arkansas","Little Rock-Pine Bluff AR","693","LittleRock"
"Arkansas","Memphis TN","640","Memphis"
"Arkansas","Monroe LA-El Dorado AR","628","Monroe"
"Arkansas","Shreveport LA","612","Shreveport"
"Arkansas","Springfield MO","619","SpringfieldMO"
"California","Bakersfield CA","800","BakersfieldCA"
"California","Chico-Redding CA","868","Chico-Redding"
"California","Eureka CA","802","Eureka"
"California","Fresno-Visalia CA","866","Fresno-Visalia"
"California","Los Angeles CA","803","LosAngeles"
"California","Medford-Klamath Falls OR","813","Medford-Klamath"
"California","Monterey-Salinas CA","828","Monterey-Salinas"
"California","Palm Springs CA","804","PalmSprings"
"California","Phoenix AZ","753","PhoenixAZ"
"California","Reno NV","811","RenoNV"
"California","Sacramento-Stockton-Modesto CA","862","Sacramento"
"California","San Diego CA","825","SanDiego"
"California","San Francisco-Oakland-San Jose CA","807","SanFrancisco"
"California","Santa Barbara-Santa Maria-San Luis Obispo CA","855","SantaBarbara"
"California","Yuma AZ-El Centro CA","771","Yuma"
"Colorado","Albuquerque-Santa Fe NM","790","Albuquerque"
"Colorado","Colorado Springs-Pueblo CO","752","ColaradoSprings"
"Colorado","Denver CO","751","Denver"
"Colorado","Grand Junction-Montrose CO","773","GrandJunction"
"Connecticut","Hartford & New Haven CT","533","Hartford"
"Connecticut","New York NY","501","NewYork"
"Delaware","Philadelphia PA","504","Philadelphia"
"Delaware","Salisbury MD","576","Salisbury"
"District of Columbia","Washington DC (Hagerstown MD)","511","WashingtonDC"
"Florida","Ft. Myers-Naples FL","571","FtMyers"
"Florida","Gainesville FL","592","Gainsville"
"Florida","Jacksonville FL","561","Jacksonville"
"Florida","Miami-Ft. Lauderdale FL","528","Miami"
"Florida","Mobile AL-Pensacola (Ft. Walton Beach) FL","686","MobilePensacola"
"Florida","Orlando-Daytona Beach-Melbourne FL","534","Orlando"
"Florida","Panama City FL","656","PanamaCity"
"Florida","Tallahassee FL-Thomasville GA","530","Tallahassee"
"Florida","Tampa-St. Petersburg (Sarasota) FL","539","Tampa"
"Florida","West Palm Beach-Ft. Pierce FL","548","WestPalmBeach"
"Georgia","Albany GA","525","AlbanyGA"
"Georgia","Atlanta GA","524","Atlanta"
"Georgia","Augusta GA","520","Augusta"
"Georgia","Chattanooga TN","575","Chattanooga"
"Georgia","Columbus GA","522","ColumbusGA"
"Georgia","Dothan AL","606","Dothan"
"Georgia","Greenville-Spartanburg SC-Asheville NC-Anderson SC","567","Greenville-Spartanburg"
"Georgia","Jacksonville FL","561","Jacksonville"
"Georgia","Macon GA","503","Macon"
"Georgia","Savannah GA","507","Savannah"
"Georgia","Tallahassee FL-Thomasville GA","530","Tallahassee"
"Hawaii","Honolulu HI","744","Honolulu"
"Idaho","Boise ID","757","Boise"
"Idaho","Idaho Falls-Pocatello ID","758","IdahoFalls"
"Idaho","Salt Lake City UT","770","SaltLakeCity"
"Idaho","Spokane WA","881","Spokane"
